date,bike_model,price,quantity_sold,extended_sales
2021-01-16,Carbon Storm,5000,4,20000
2021-01-16,Titanium Falcon,7500,5,37500
2021-01-16,Speedster Elite,9900,4,39600
2021-01-17,Commuter Swift,495,18,8910
2021-01-17,Urban Rider,350,21,7350
2021-01-17,City Cruiser,400,16,6400
2021-01-17,Mountain Trail Pro,1250,9,11250
2021-01-17,Gravel Explorer,2200,12,26400
2021-01-17,Roadster GT,2900,8,23200
2021-01-17,Carbon Storm,5000,4,20000
2021-01-17,Titanium Falcon,7500,3,22500
2021-01-17,Speedster Elite,9900,4,39600
2021-01-18,Commuter Swift,495,23,11385
2021-01-18,Urban Rider,350,18,6300
2021-01-18,City Cruiser,400,18,7200
2021-01-18,Mountain Trail Pro,1250,7,8750
2021-01-18,Gravel Explorer,2200,11,24200
2021-01-18,Roadster GT,2900,10,29000
2021-01-18,Carbon Storm,5000,4,20000
2021-01-18,Titanium Falcon,7500,3,22500
2021-01-18,Speedster Elite,9900,5,49500
2021-01-19,Commuter Swift,495,14,6930
2021-01-19,Urban Rider,350,16,5600
2021-01-19,City Cruiser,400,23,9200
2021-01-19,Mountain Trail Pro,1250,11,13750
2021-01-19,Gravel Explorer,2200,11,24200
2021-01-19,Roadster GT,2900,10,29000
2021-01-19,Carbon Storm,5000,5,25000
2021-01-19,Titanium Falcon,7500,3,22500
2021-01-19,Speedster Elite,9900,3,29700
2021-01-20,Commuter Swift,495,22,10890
2021-01-20,Urban Rider,350,16,5600
2021-01-20,City Cruiser,400,14,5600
2021-01-20,Mountain Trail Pro,1250,7,8750
2021-01-20,Gravel Explorer,2200,9,19800
2021-01-20,Roadster GT,2900,8,23200
2021-01-20,Carbon Storm,5000,4,20000
2021-01-20,Titanium Falcon,7500,4,30000
2021-01-20,Speedster Elite,9900,4,39600
2021-01-21,Commuter Swift,495,14,6930
2021-01-21,Urban Rider,350,19,6650
2021-01-21,City Cruiser,400,22,8800
2021-01-21,Mountain Trail Pro,1250,9,11250
2021-01-21,Gravel Explorer,2200,10,22000
2021-01-21,Roadster GT,2900,7,20300
2021-01-21,Carbon Storm,5000,3,15000
2021-01-21,Titanium Falcon,7500,4,30000
2021-01-21,Speedster Elite,9900,4,39600
2021-01-22,Commuter Swift,495,20,9900
2021-01-22,Urban Rider,350,15,5250
2021-01-22,City Cruiser,400,14,5600
2021-01-22,Mountain Trail Pro,1250,8,10000
2021-01-22,Gravel Explorer,2200,7,15400
2021-01-22,Roadster GT,2900,8,23200
2021-01-22,Carbon Storm,5000,5,25000
2021-01-22,Titanium Falcon,7500,3,22500
2021-01-22,Speedster Elite,9900,4,39600
2021-01-23,Commuter Swift,495,15,7425
2021-01-23,Urban Rider,350,13,4550
2021-01-23,City Cruiser,400,18,7200
2021-01-23,Mountain Trail Pro,1250,8,10000
2021-01-23,Gravel Explorer,2200,12,26400
2021-01-23,Roadster GT,2900,10,29000
2021-01-23,Carbon Storm,5000,4,20000
2021-01-23,Titanium Falcon,7500,5,37500
2021-01-23,Speedster Elite,9900,3,29700
2021-01-24,Commuter Swift,495,18,8910
2021-01-24,Urban Rider,350,14,4900
2021-01-24,City Cruiser,400,22,8800
2021-01-24,Mountain Trail Pro,1250,11,13750
2021-01-24,Gravel Explorer,2200,10,22000
2021-01-24,Roadster GT,2900,12,34800
2021-01-24,Carbon Storm,5000,5,25000
2021-01-24,Titanium Falcon,7500,4,30000
2021-01-24,Speedster Elite,9900,5,49500
2021-01-25,Commuter Swift,495,14,6930
2021-01-25,Urban Rider,350,16,5600
2021-01-25,City Cruiser,400,23,9200
2021-01-25,Mountain Trail Pro,1250,7,8750
2021-01-25,Gravel Explorer,2200,9,19800
2021-01-25,Roadster GT,2900,7,20300
2021-01-25,Carbon Storm,5000,4,20000
2021-01-25,Titanium Falcon,7500,3,22500
2021-01-25,Speedster Elite,9900,3,29700
2021-01-26,Commuter Swift,495,13,6435
2021-01-26,Urban Rider,350,13,4550
2021-01-26,City Cruiser,400,22,8800
2021-01-26,Mountain Trail Pro,1250,11,13750
2021-01-26,Gravel Explorer,2200,7,15400
2021-01-26,Roadster GT,2900,9,26100
2021-01-26,Carbon Storm,5000,4,20000
2021-01-26,Titanium Falcon,7500,3,22500
2021-01-26,Speedster Elite,9900,4,39600
2021-01-27,Commuter Swift,495,20,9900
2021-01-27,Urban Rider,350,13,4550
2021-01-27,City Cruiser,400,15,6000
2021-01-27,Mountain Trail Pro,1250,8,10000
2021-01-27,Gravel Explorer,2200,7,15400
2021-01-27,Roadster GT,2900,10,29000
2021-01-27,Carbon Storm,5000,5,25000
2021-01-27,Titanium Falcon,7500,3,22500
2021-01-27,Speedster Elite,9900,3,29700
2021-01-28,Commuter Swift,495,16,7920
2021-01-28,Urban Rider,350,13,4550
2021-01-28,City Cruiser,400,19,7600
2021-01-28,Mountain Trail Pro,1250,9,11250
2021-01-28,Gravel Explorer,2200,9,19800
2021-01-28,Roadster GT,2900,10,29000
2021-01-28,Carbon Storm,5000,3,15000
2021-01-28,Titanium Falcon,7500,3,22500
2021-01-28,Speedster Elite,9900,5,49500
2021-01-29,Commuter Swift,495,18,8910
2021-01-29,Urban Rider,350,19,6650
2021-01-29,City Cruiser,400,21,8400
2021-01-29,Mountain Trail Pro,1250,8,10000
2021-01-29,Gravel Explorer,2200,8,17600
2021-01-29,Roadster GT,2900,12,34800
2021-01-29,Carbon Storm,5000,2,10000
2021-01-29,Titanium Falcon,7500,3,22500
2021-01-29,Speedster Elite,9900,4,39600
2021-01-30,Commuter Swift,495,12,5940
2021-01-30,Urban Rider,350,21,7350
2021-01-30,City Cruiser,400,20,8000
2021-01-30,Mountain Trail Pro,1250,11,13750
2021-01-30,Gravel Explorer,2200,9,19800
2021-01-30,Roadster GT,2900,11,31900
2021-01-30,Carbon Storm,5000,2,10000
2021-01-30,Titanium Falcon,7500,2,15000
2021-01-30,Speedster Elite,9900,4,39600
2021-01-31,Commuter Swift,495,13,6435
2021-01-31,Urban Rider,350,13,4550
2021-01-31,City Cruiser,400,19,7600
2021-01-31,Mountain Trail Pro,1250,11,13750
2021-01-31,Gravel Explorer,2200,9,19800
2021-01-31,Roadster GT,2900,11,31900
2021-01-31,Carbon Storm,5000,3,15000
2021-01-31,Titanium Falcon,7500,2,15000
2021-01-31,Speedster Elite,9900,4,39600
2021-02-01,Commuter Swift,495,14,6930
2021-02-01,Urban Rider,350,14,4900
2021-02-01,City Cruiser,400,15,6000
2021-02-01,Mountain Trail Pro,1250,6,7500
2021-02-01,Gravel Explorer,2200,11,24200
2021-02-01,Roadster GT,2900,7,20300
2021-02-01,Carbon Storm,5000,4,20000
2021-02-01,Titanium Falcon,7500,2,15000
2021-02-01,Speedster Elite,9900,2,19800
2021-02-02,Commuter Swift,495,16,7920
2021-02-02,Urban Rider,350,16,5600
2021-02-02,City Cruiser,400,20,8000
2021-02-02,Mountain Trail Pro,1250,6,7500
2021-02-02,Gravel Explorer,2200,7,15400
2021-02-02,Roadster GT,2900,9,26100
2021-02-02,Carbon Storm,5000,3,15000
2021-02-02,Titanium Falcon,7500,2,15000
2021-02-02,Speedster Elite,9900,4,39600
2021-02-03,Commuter Swift,495,17,8415
2021-02-03,Urban Rider,350,12,4200
2021-02-03,City Cruiser,400,20,8000
2021-02-03,Mountain Trail Pro,1250,11,13750
2021-02-03,Gravel Explorer,2200,6,13200
2021-02-03,Roadster GT,2900,10,29000
2021-02-03,Carbon Storm,5000,4,20000
2021-02-03,Titanium Falcon,7500,4,30000
2021-02-03,Speedster Elite,9900,4,39600
2021-02-04,Commuter Swift,495,21,10395
2021-02-04,Urban Rider,350,14,4900
2021-02-04,City Cruiser,400,19,7600
2021-02-04,Mountain Trail Pro,1250,8,10000
2021-02-04,Gravel Explorer,2200,11,24200
2021-02-04,Roadster GT,2900,10,29000
2021-02-04,Carbon Storm,5000,2,10000
2021-02-04,Titanium Falcon,7500,2,15000
2021-02-04,Speedster Elite,9900,3,29700
2021-02-05,Commuter Swift,495,17,8415
2021-02-05,Urban Rider,350,16,5600
2021-02-05,City Cruiser,400,16,6400
2021-02-05,Mountain Trail Pro,1250,6,7500
2021-02-05,Gravel Explorer,2200,6,13200
2021-02-05,Roadster GT,2900,10,29000
2021-02-05,Carbon Storm,5000,3,15000
2021-02-05,Titanium Falcon,7500,2,15000
2021-02-05,Speedster Elite,9900,2,19800
2021-02-06,Commuter Swift,495,14,6930
2021-02-06,Urban Rider,350,16,5600
2021-02-06,City Cruiser,400,15,6000
2021-02-06,Mountain Trail Pro,1250,9,11250
2021-02-06,Gravel Explorer,2200,11,24200
2021-02-06,Roadster GT,2900,9,26100
2021-02-06,Carbon Storm,5000,4,20000
2021-02-06,Titanium Falcon,7500,3,22500
2021-02-06,Speedster Elite,9900,4,39600
2021-02-07,Commuter Swift,495,13,6435
2021-02-07,Urban Rider,350,20,7000
2021-02-07,City Cruiser,400,17,6800
2021-02-07,Mountain Trail Pro,1250,7,8750
2021-02-07,Gravel Explorer,2200,6,13200
2021-02-07,Roadster GT,2900,8,23200
2021-02-07,Carbon Storm,5000,4,20000
2021-02-07,Titanium Falcon,7500,2,15000
2021-02-07,Speedster Elite,9900,2,19800
2021-02-08,Commuter Swift,495,15,7425
2021-02-08,Urban Rider,350,15,5250
2021-02-08,City Cruiser,400,21,8400
2021-02-08,Mountain Trail Pro,1250,8,10000
2021-02-08,Gravel Explorer,2200,7,15400
2021-02-08,Roadster GT,2900,6,17400
2021-02-08,Carbon Storm,5000,4,20000
2021-02-08,Titanium Falcon,7500,4,30000
2021-02-08,Speedster Elite,9900,2,19800
2021-02-09,Commuter Swift,495,18,8910
2021-02-09,Urban Rider,350,13,4550
2021-02-09,City Cruiser,400,13,5200
2021-02-09,Mountain Trail Pro,1250,11,13750
2021-02-09,Gravel Explorer,2200,7,15400
2021-02-09,Roadster GT,2900,7,20300
2021-02-09,Carbon Storm,5000,3,15000
2021-02-09,Titanium Falcon,7500,2,15000
2021-02-09,Speedster Elite,9900,2,19800
2021-02-10,Commuter Swift,495,13,6435
2021-02-10,Urban Rider,350,12,4200
2021-02-10,City Cruiser,400,12,4800
2021-02-10,Mountain Trail Pro,1250,6,7500
2021-02-10,Gravel Explorer,2200,11,24200
2021-02-10,Roadster GT,2900,9,26100
2021-02-10,Carbon Storm,5000,2,10000
2021-02-10,Titanium Falcon,7500,3,22500
2021-02-10,Speedster Elite,9900,2,19800
2021-02-11,Commuter Swift,495,18,8910
2021-02-11,Urban Rider,350,14,4900
2021-02-11,City Cruiser,400,15,6000
2021-02-11,Mountain Trail Pro,1250,8,10000
2021-02-11,Gravel Explorer,2200,9,19800
2021-02-11,Roadster GT,2900,6,17400
2021-02-11,Carbon Storm,5000,4,20000
2021-02-11,Titanium Falcon,7500,4,30000
2021-02-11,Speedster Elite,9900,3,29700
2021-02-12,Commuter Swift,495,19,9405
2021-02-12,Urban Rider,350,14,4900
2021-02-12,City Cruiser,400,18,7200
2021-02-12,Mountain Trail Pro,1250,10,12500
2021-02-12,Gravel Explorer,2200,7,15400
2021-02-12,Roadster GT,2900,6,17400
2021-02-12,Carbon Storm,5000,3,15000
2021-02-12,Titanium Falcon,7500,2,15000
2021-02-12,Speedster Elite,9900,3,29700
2021-02-13,Commuter Swift,495,13,6435
2021-02-13,Urban Rider,350,18,6300
2021-02-13,City Cruiser,400,13,5200
2021-02-13,Mountain Trail Pro,1250,11,13750
2021-02-13,Gravel Explorer,2200,7,15400
2021-02-13,Roadster GT,2900,7,20300
2021-02-13,Carbon Storm,5000,4,20000
2021-02-13,Titanium Falcon,7500,3,22500
2021-02-13,Speedster Elite,9900,3,29700
2021-02-14,Commuter Swift,495,18,8910
2021-02-14,Urban Rider,350,17,5950
2021-02-14,City Cruiser,400,17,6800
2021-02-14,Mountain Trail Pro,1250,10,12500
2021-02-14,Gravel Explorer,2200,6,13200
2021-02-14,Roadster GT,2900,9,26100
2021-02-14,Carbon Storm,5000,4,20000
2021-02-14,Titanium Falcon,7500,3,22500
2021-02-14,Speedster Elite,9900,2,19800
2021-02-15,Commuter Swift,495,17,8415
2021-02-15,Urban Rider,350,16,5600
2021-02-15,City Cruiser,400,15,6000
2021-02-15,Mountain Trail Pro,1250,8,10000
2021-02-15,Gravel Explorer,2200,10,22000
2021-02-15,Roadster GT,2900,7,20300
2021-02-15,Carbon Storm,5000,4,20000
2021-02-15,Titanium Falcon,7500,3,22500
2021-02-15,Speedster Elite,9900,2,19800
2021-02-16,Commuter Swift,495,11,5445
2021-02-16,Urban Rider,350,11,3850
2021-02-16,City Cruiser,400,12,4800
2021-02-16,Mountain Trail Pro,1250,9,11250
2021-02-16,Gravel Explorer,2200,10,22000
2021-02-16,Roadster GT,2900,8,23200
2021-02-16,Carbon Storm,5000,4,20000
2021-02-16,Titanium Falcon,7500,3,22500
2021-02-16,Speedster Elite,9900,3,29700
2021-02-17,Commuter Swift,495,17,8415
2021-02-17,Urban Rider,350,17,5950
2021-02-17,City Cruiser,400,17,6800
2021-02-17,Mountain Trail Pro,1250,7,8750
2021-02-17,Gravel Explorer,2200,7,15400
2021-02-17,Roadster GT,2900,7,20300
2021-02-17,Carbon Storm,5000,2,10000
2021-02-17,Titanium Falcon,7500,3,22500
2021-02-17,Speedster Elite,9900,2,19800
2021-02-18,Commuter Swift,495,10,4950
2021-02-18,Urban Rider,350,19,6650
2021-02-18,City Cruiser,400,19,7600
2021-02-18,Mountain Trail Pro,1250,7,8750
2021-02-18,Gravel Explorer,2200,8,17600
2021-02-18,Roadster GT,2900,7,20300
2021-02-18,Carbon Storm,5000,4,20000
2021-02-18,Titanium Falcon,7500,4,30000
2021-02-18,Speedster Elite,9900,4,39600
2021-02-19,Commuter Swift,495,15,7425
2021-02-19,Urban Rider,350,16,5600
2021-02-19,City Cruiser,400,17,6800
2021-02-19,Mountain Trail Pro,1250,7,8750
2021-02-19,Gravel Explorer,2200,11,24200
2021-02-19,Roadster GT,2900,10,29000
2021-02-19,Carbon Storm,5000,4,20000
2021-02-19,Titanium Falcon,7500,3,22500
2021-02-19,Speedster Elite,9900,2,19800
2021-02-20,Commuter Swift,495,10,4950
2021-02-20,Urban Rider,350,19,6650
2021-02-20,City Cruiser,400,15,6000
2021-02-20,Mountain Trail Pro,1250,6,7500
2021-02-20,Gravel Explorer,2200,6,13200
2021-02-20,Roadster GT,2900,7,20300
2021-02-20,Carbon Storm,5000,2,10000
2021-02-20,Titanium Falcon,7500,4,30000
2021-02-20,Speedster Elite,9900,3,29700
2021-02-21,Commuter Swift,495,19,9405
2021-02-21,Urban Rider,350,19,6650
2021-02-21,City Cruiser,400,20,8000
2021-02-21,Mountain Trail Pro,1250,7,8750
2021-02-21,Gravel Explorer,2200,9,19800
2021-02-21,Roadster GT,2900,6,17400
2021-02-21,Carbon Storm,5000,3,15000
2021-02-21,Titanium Falcon,7500,4,30000
2021-02-21,Speedster Elite,9900,4,39600
2021-02-22,Commuter Swift,495,18,8910
2021-02-22,Urban Rider,350,19,6650
2021-02-22,City Cruiser,400,15,6000
2021-02-22,Mountain Trail Pro,1250,6,7500
2021-02-22,Gravel Explorer,2200,6,13200
2021-02-22,Roadster GT,2900,5,14500
2021-02-22,Carbon Storm,5000,4,20000
2021-02-22,Titanium Falcon,7500,4,30000
2021-02-22,Speedster Elite,9900,2,19800
2021-02-23,Commuter Swift,495,10,4950
2021-02-23,Urban Rider,350,18,6300
2021-02-23,City Cruiser,400,18,7200
2021-02-23,Mountain Trail Pro,1250,7,8750
2021-02-23,Gravel Explorer,2200,8,17600
2021-02-23,Roadster GT,2900,6,17400
2021-02-23,Carbon Storm,5000,4,20000
2021-02-23,Titanium Falcon,7500,4,30000
2021-02-23,Speedster Elite,9900,4,39600
2021-02-24,Commuter Swift,495,12,5940
2021-02-24,Urban Rider,350,13,4550
2021-02-24,City Cruiser,400,15,6000
2021-02-24,Mountain Trail Pro,1250,6,7500
2021-02-24,Gravel Explorer,2200,10,22000
2021-02-24,Roadster GT,2900,10,29000
2021-02-24,Carbon Storm,5000,2,10000
2021-02-24,Titanium Falcon,7500,2,15000
2021-02-24,Speedster Elite,9900,4,39600
2021-02-25,Commuter Swift,495,14,6930
2021-02-25,Urban Rider,350,13,4550
2021-02-25,City Cruiser,400,13,5200
2021-02-25,Mountain Trail Pro,1250,6,7500
2021-02-25,Gravel Explorer,2200,7,15400
2021-02-25,Roadster GT,2900,8,23200
2021-02-25,Carbon Storm,5000,3,15000
2021-02-25,Titanium Falcon,7500,2,15000
2021-02-25,Speedster Elite,9900,4,39600
2021-02-26,Commuter Swift,495,12,5940
2021-02-26,Urban Rider,350,9,3150
2021-02-26,City Cruiser,400,17,6800
2021-02-26,Mountain Trail Pro,1250,7,8750
2021-02-26,Gravel Explorer,2200,7,15400
2021-02-26,Roadster GT,2900,6,17400
2021-02-26,Carbon Storm,5000,4,20000
2021-02-26,Titanium Falcon,7500,3,22500
2021-02-26,Speedster Elite,9900,3,29700
2021-02-27,Commuter Swift,495,12,5940
2021-02-27,Urban Rider,350,15,5250
2021-02-27,City Cruiser,400,13,5200
2021-02-27,Mountain Trail Pro,1250,8,10000
2021-02-27,Gravel Explorer,2200,9,19800
2021-02-27,Roadster GT,2900,7,20300
2021-02-27,Carbon Storm,5000,4,20000
2021-02-27,Titanium Falcon,7500,4,30000
2021-02-27,Speedster Elite,9900,2,19800
2021-02-28,Commuter Swift,495,14,6930
2021-02-28,Urban Rider,350,11,3850
2021-02-28,City Cruiser,400,12,4800
2021-02-28,Mountain Trail Pro,1250,5,6250
2021-02-28,Gravel Explorer,2200,8,17600
2021-02-28,Roadster GT,2900,10,29000
2021-02-28,Carbon Storm,5000,3,15000
2021-02-28,Titanium Falcon,7500,3,22500
2021-02-28,Speedster Elite,9900,4,39600
2021-03-01,Commuter Swift,495,16,7920
2021-03-01,Urban Rider,350,12,4200
2021-03-01,City Cruiser,400,14,5600
2021-03-01,Mountain Trail Pro,1250,10,12500
2021-03-01,Gravel Explorer,2200,7,15400
2021-03-01,Roadster GT,2900,10,29000
2021-03-01,Carbon Storm,5000,3,15000
2021-03-01,Titanium Falcon,7500,4,30000
2021-03-01,Speedster Elite,9900,4,39600
2021-03-02,Commuter Swift,495,17,8415
2021-03-02,Urban Rider,350,15,5250
2021-03-02,City Cruiser,400,10,4000
2021-03-02,Mountain Trail Pro,1250,9,11250
2021-03-02,Gravel Explorer,2200,5,11000
2021-03-02,Roadster GT,2900,7,20300
2021-03-02,Carbon Storm,5000,3,15000
2021-03-02,Titanium Falcon,7500,2,15000
2021-03-02,Speedster Elite,9900,3,29700
2021-03-03,Commuter Swift,495,10,4950
2021-03-03,Urban Rider,350,9,3150
2021-03-03,City Cruiser,400,12,4800
2021-03-03,Mountain Trail Pro,1250,9,11250
2021-03-03,Gravel Explorer,2200,8,17600
2021-03-03,Roadster GT,2900,5,14500
2021-03-03,Carbon Storm,5000,3,15000
2021-03-03,Titanium Falcon,7500,3,22500
2021-03-03,Speedster Elite,9900,2,19800
2021-03-04,Commuter Swift,495,12,5940
2021-03-04,Urban Rider,350,18,6300
2021-03-04,City Cruiser,400,11,4400
2021-03-04,Mountain Trail Pro,1250,9,11250
2021-03-04,Gravel Explorer,2200,8,17600
2021-03-04,Roadster GT,2900,6,17400
2021-03-04,Carbon Storm,5000,4,20000
2021-03-04,Titanium Falcon,7500,2,15000
2021-03-04,Speedster Elite,9900,4,39600
2021-03-05,Commuter Swift,495,15,7425
2021-03-05,Urban Rider,350,13,4550
2021-03-05,City Cruiser,400,15,6000
2021-03-05,Mountain Trail Pro,1250,8,10000
2021-03-05,Gravel Explorer,2200,7,15400
2021-03-05,Roadster GT,2900,10,29000
2021-03-05,Carbon Storm,5000,2,10000
2021-03-05,Titanium Falcon,7500,2,15000
2021-03-05,Speedster Elite,9900,2,19800
2021-03-06,Commuter Swift,495,9,4455
2021-03-06,Urban Rider,350,18,6300
2021-03-06,City Cruiser,400,18,7200
2021-03-06,Mountain Trail Pro,1250,6,7500
2021-03-06,Gravel Explorer,2200,10,22000
2021-03-06,Roadster GT,2900,9,26100
2021-03-06,Carbon Storm,5000,3,15000
2021-03-06,Titanium Falcon,7500,2,15000
2021-03-06,Speedster Elite,9900,2,19800
2021-03-07,Commuter Swift,495,10,4950
2021-03-07,Urban Rider,350,16,5600
2021-03-07,City Cruiser,400,11,4400
2021-03-07,Mountain Trail Pro,1250,8,10000
2021-03-07,Gravel Explorer,2200,5,11000
2021-03-07,Roadster GT,2900,5,14500
2021-03-07,Carbon Storm,5000,2,10000
2021-03-07,Titanium Falcon,7500,2,15000
2021-03-07,Speedster Elite,9900,4,39600
2021-03-08,Commuter Swift,495,16,7920
2021-03-08,Urban Rider,350,9,3150
2021-03-08,City Cruiser,400,18,7200
2021-03-08,Mountain Trail Pro,1250,6,7500
2021-03-08,Gravel Explorer,2200,8,17600
2021-03-08,Roadster GT,2900,5,14500
2021-03-08,Carbon Storm,5000,3,15000
2021-03-08,Titanium Falcon,7500,4,30000
2021-03-08,Speedster Elite,9900,3,29700
2021-03-09,Commuter Swift,495,13,6435
2021-03-09,Urban Rider,350,14,4900
2021-03-09,City Cruiser,400,11,4400
2021-03-09,Mountain Trail Pro,1250,10,12500
2021-03-09,Gravel Explorer,2200,10,22000
2021-03-09,Roadster GT,2900,6,17400
